GAME_DATE_EST;SEASON;TEAM_home;PTS_home;FG_PCT_home;FT_PCT_home;FG3_PCT_home;AST_home;REB_home;TEAM_away;PTS_away;FG_PCT_away;FT_PCT_away;FG3_PCT_away;AST_away;REB_away;HOME_TEAM_WINS
22/12/2022;2022;NOP;126;0.484;0.926;0.382;25;46;SAS;117;0.478;0.815;0.321;23;44;1
22/12/2022;2022;UTA;120;0.488;0.952;0.457;16;40;WAS;112;0.561;0.765;0.333;20;37;1
21/12/2022;2022;CLE;114;0.482;0.786;0.313;22;37;MIL;106;0.47;0.682;0.433;20;46;1
21/12/2022;2022;PHI;113;0.441;0.909;0.297;27;49;DET;93;0.392;0.735;0.261;15;46;1
21/12/2022;2022;ATL;108;0.429;1.0;0.378;22;47;CHI;110;0.5;0.773;0.292;20;47;0
21/12/2022;2022;BOS;112;0.386;0.84;0.317;26;62;IND;117;0.469;0.778;0.462;27;47;0
21/12/2022;2022;BKN;143;0.643;0.875;0.636;42;32;GSW;113;0.494;0.76;0.364;32;36;1
21/12/2022;2022;NYK;106;0.553;0.611;0.423;25;38;TOR;113;0.447;0.909;0.265;17;38;0
21/12/2022;2022;HOU;110;0.466;0.647;0.395;22;49;ORL;116;0.451;0.697;0.297;19;45;0
21/12/2022;2022;MIN;99;0.494;0.7;0.267;23;39;DAL;104;0.453;0.852;0.333;17;39;0
21/12/2022;2022;OKC;101;0.468;0.84;0.333;19;37;POR;98;0.494;0.667;0.389;29;36;1
21/12/2022;2022;SAC;134;0.505;0.75;0.362;29;46;LAL;120;0.5;0.833;0.458;25;39;1
21/12/2022;2022;LAC;126;0.506;0.913;0.469;29;48;CHA;105;0.402;0.759;0.29;25;40;1
20/12/2022;2022;DET;111;0.506;0.741;0.36;22;43;UTA;126;0.505;0.632;0.435;27;43;0
20/12/2022;2022;MIA;103;0.469;0.706;0.341;26;35;CHI;113;0.548;0.833;0.419;24;39;0
20/12/2022;2022;NYK;132;0.517;0.781;0.425;27;47;GSW;94;0.473;0.923;0.343;23;29;1
20/12/2022;2022;PHX;110;0.461;0.789;0.406;26;44;WAS;113;0.475;0.703;0.407;22;41;0
20/12/2022;2022;DEN;105;0.449;0.6;0.37;28;48;MEM;91;0.444;0.667;0.192;25;42;1
19/12/2022;2022;CLE;122;0.614;0.808;0.577;24;45;UTA;99;0.387;0.739;0.294;19;35;1
19/12/2022;2022;PHI;104;0.4;0.926;0.357;22;41;TOR;101;0.42;0.8;0.275;24;50;1
19/12/2022;2022;ATL;126;0.511;0.9;0.375;29;41;ORL;125;0.474;0.92;0.353;29;45;1
19/12/2022;2022;HOU;105;0.426;0.645;0.208;23;41;SAS;124;0.554;0.789;0.5;30;46;0
19/12/2022;2022;MIN;116;0.472;0.833;0.387;19;44;DAL;106;0.408;0.806;0.422;23;42;1
19/12/2022;2022;NOP;119;0.424;0.708;0.4;30;44;MIL;128;0.556;0.806;0.325;26;44;0
19/12/2022;2022;OKC;123;0.455;0.865;0.355;20;39;POR;121;0.5;0.81;0.432;26;45;1
19/12/2022;2022;PHX;130;0.495;0.75;0.513;21;51;LAL;104;0.448;0.824;0.429;13;38;1
19/12/2022;2022;SAC;119;0.474;0.548;0.364;23;42;CHA;125;0.516;0.739;0.323;26;56;0
18/12/2022;2022;BOS;92;0.348;0.857;0.255;22;54;ORL;95;0.384;0.895;0.414;20;46;0
18/12/2022;2022;IND;106;0.433;0.652;0.342;20;44;NYK;109;0.47;0.767;0.308;13;49;0
18/12/2022;2022;DET;121;0.477;0.853;0.267;20;41;BKN;124;0.55;0.913;0.517;26;35;0
18/12/2022;2022;TOR;110;0.421;0.773;0.394;21;43;GSW;126;0.531;0.846;0.462;31;41;0
18/12/2022;2022;MIN;150;0.655;0.813;0.535;38;39;CHI;126;0.523;0.75;0.421;31;30;1
18/12/2022;2022;DEN;119;0.457;0.647;0.333;33;55;CHA;115;0.427;0.913;0.316;26;48;1
18/12/2022;2022;LAL;119;0.5;0.727;0.407;29;43;WAS;117;0.463;0.792;0.256;24;48;1
17/12/2022;2022;LAC;102;0.43;0.615;0.414;19;49;WAS;93;0.429;0.923;0.36;20;42;1
17/12/2022;2022;SAS;101;0.429;0.758;0.37;29;38;MIA;111;0.512;0.696;0.367;25;40;0
17/12/2022;2022;CLE;100;0.426;0.591;0.194;23;51;DAL;99;0.409;0.632;0.306;19;45;1
17/12/2022;2022;HOU;95;0.4;0.69;0.103;19;51;POR;107;0.471;0.737;0.361;20;36;0
17/12/2022;2022;MIL;123;0.533;0.818;0.474;30;54;UTA;97;0.453;0.5;0.34;24;29;1
17/12/2022;2022;OKC;115;0.413;0.645;0.422;29;53;MEM;109;0.378;0.784;0.267;15;53;1
17/12/2022;2022;PHX;118;0.47;0.714;0.366;23;35;NOP;114;0.584;0.769;0.467;27;36;1
16/12/2022;2022;CHA;106;0.398;0.684;0.349;26;43;ATL;125;0.547;0.824;0.517;25;41;0
16/12/2022;2022;DET;113;0.459;0.806;0.345;22;46;SAC;122;0.524;0.828;0.387;30;33;0
16/12/2022;2022;BOS;109;0.417;0.824;0.239;17;38;ORL;117;0.462;0.857;0.273;19;53;0
16/12/2022;2022;CLE;118;0.5;0.875;0.452;23;34;IND;112;0.525;0.895;0.306;34;33;1
16/12/2022;2022;PHI;118;0.459;0.806;0.395;23;49;GSW;106;0.415;0.846;0.395;31;48;1
16/12/2022;2022;TOR;116;0.488;0.862;0.375;17;32;BKN;119;0.605;0.783;0.346;22;37;0
16/12/2022;2022;CHI;91;0.468;0.875;0.4;26;39;NYK;114;0.402;0.719;0.386;19;50;0
16/12/2022;2022;OKC;110;0.466;0.81;0.297;29;45;MIN;112;0.494;0.56;0.48;23;43;0
16/12/2022;2022;DAL;130;0.556;0.846;0.419;25;40;POR;110;0.438;0.76;0.351;21;42;1
16/12/2022;2022;LAL;126;0.527;0.75;0.364;29;45;DEN;108;0.481;0.75;0.333;25;39;1
15/12/2022;2022;HOU;108;0.468;0.647;0.273;22;51;MIA;111;0.443;0.739;0.34;21;40;0
15/12/2022;2022;MEM;142;0.549;0.783;0.375;30;56;MIL;101;0.372;0.667;0.26;22;39;1
15/12/2022;2022;UTA;132;0.457;0.811;0.383;24;44;NOP;129;0.475;0.821;0.4;24;49;1
15/12/2022;2022;LAC;95;0.378;0.714;0.364;21;52;PHX;111;0.463;0.778;0.281;27;53;0
14/12/2022;2022;CHA;134;0.412;0.793;0.333;21;52;DET;141;0.516;0.75;0.45;25;52;0
14/12/2022;2022;IND;125;0.506;0.84;0.41;30;34;GSW;119;0.465;0.862;0.424;27;46;1
14/12/2022;2022;ORL;135;0.505;0.833;0.444;28;46;ATL;124;0.5;0.889;0.343;30;39;1
14/12/2022;2022;TOR;123;0.5;0.852;0.286;25;39;SAC;124;0.484;0.85;0.37;29;50;0
14/12/2022;2022;CHI;120;0.548;0.864;0.321;25;31;NYK;128;0.495;0.8;0.529;25;48;0
14/12/2022;2022;OKC;108;0.5;0.739;0.375;26;44;MIA;110;0.43;0.8;0.429;25;39;0
